Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,table_1_flag,Geocoded_City1,Geocoded_City2
2018,4,"30,325",34653,"Denver, CO","Tulsa, OK",541,433.1521739,155.4896361,WN,0.487578419,156.2383942,F9,0.10740276,82.50046729,-1,,
2018,4,"30,397",30194,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",731,"3,317.5",193.6320861,DL,0.426886406,204.6898304,WN,0.223845877,163.1793472,-1,,
2018,4,"30,397",30198,"Atlanta, GA (Metropolitan Area)","Pittsburgh, PA",526,881.6304348,192.3000247,DL,0.751202071,203.7628098,WN,0.218098878,145.8079141,-1,,
2018,4,"30,397",30325,"Atlanta, GA (Metropolitan Area)","Denver, CO",1199,"2,127.608696",195.1581639,DL,0.412485951,228.8192222,F9,0.105292735,97.15570112,-1,,
2018,4,"30,397",30423,"Atlanta, GA (Metropolitan Area)","Austin, TX",813,"1,048.586957",203.0539857,DL,0.584534052,227.3736301,WN,0.334508137,171.3565541,-1,,
2018,4,"30,397",30466,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,"1,282.065217",269.173192,DL,0.508350996,296.9806538,WN,0.246375583,226.4001032,-1,,
2018,4,"30,397",30529,"Atlanta, GA (Metropolitan Area)","Hartford, CT",859,714.8913043,228.5622168,DL,0.890223506,230.6788215,WN,0.042572601,194.4442857,-1,,
2018,4,"30,397",30559,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,"1,055.326087",330.9002678,DL,0.637552786,364.0733764,AS,0.248120301,265.228435,-1,,
2018,4,"30,397",30647,"Atlanta, GA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",554,"1,068.043478",172.9009159,DL,0.740993283,185.2026919,WN,0.168430694,126.9963142,-1,,
2018,4,"30,397",30693,"Atlanta, GA (Metropolitan Area)","Nashville, TN",214,552.2826087,149.1129305,DL,0.65321787,170.9842724,WN,0.345404448,107.7252422,-1,,
2018,4,"30,397",30721,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,"3,398.369565",160.0791556,DL,0.629585799,175.454684,B6,0.200159923,121.2761266,-1,,
2018,4,"30,397",30792,"Atlanta, GA (Metropolitan Area)","Buffalo, NY",712,382.0652174,204.5232432,DL,0.838122333,206.54148,AA,0.048648649,176.1011696,-1,,
2018,4,"30,397",30852,"Atlanta, GA (Metropolitan Area)","Washington, DC (Metropolitan Area)",577,"5,323.913043",183.8134892,DL,0.524030216,206.2088362,WN,0.307288689,150.2366687,-1,,
2018,4,"30,397",30977,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,"3,918.043478",176.7012872,DL,0.397103701,201.7683876,WN,0.253786828,142.8199934,-1,,
2018,4,"30,397",30994,"Atlanta, GA (Metropolitan Area)","Charleston, SC",259,220.2173913,256.3596249,DL,0.973840079,256.1109985,DL,0.973840079,256.1109985,-1,,
2018,4,"30,397",31057,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,462.0652174,264.7519172,DL,0.582921665,265.2966909,AA,0.414255469,264.1337876,-1,,
2018,4,"30,397",31066,"Atlanta, GA (Metropolitan Area)","Columbus, OH",447,828.2608696,170.4925722,DL,0.682020997,184.0239561,WN,0.294356955,134.9602318,-1,,
2018,4,"30,397",31123,"Atlanta, GA (Metropolitan Area)","St. Louis, MO",484,932.826087,166.9897693,DL,0.579002564,179.0036023,WN,0.409927756,148.8184196,-1,,
2018,4,"30,397",31136,"Atlanta, GA (Metropolitan Area)","Jacksonville, FL",270,610.5434783,196.7072815,DL,0.832650881,205.253731,WN,0.155955136,148.3621005,-1,,
2018,4,"30,397",31267,"Atlanta, GA (Metropolitan Area)","Dayton, OH",432,219.673913,203.5090549,DL,0.972290945,204.0520611,AA,0.021276596,184.8953488,-1,,
2018,4,"30,397",31295,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,"1,666.413043",187.7555737,DL,0.649207488,218.7556717,WN,0.231491749,127.8539307,-1,,
2018,4,"30,397",31453,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,"2,364.673913",169.2905171,DL,0.486049184,174.4505107,WN,0.307009883,146.850262,-1,,
2018,4,"30,397",31454,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,"2,200.434783",151.6570243,DL,0.613860897,172.9561278,WN,0.24757953,130.6959298,-1,,
2018,4,"30,397",31650,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,"1,239.673913",231.8538799,DL,0.711530031,267.1997289,WN,0.206400701,139.428887,-1,,
2018,4,"30,397",31703,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,"8,870.978261",205.1346023,DL,0.578253465,230.4403301,WN,0.104762722,149.0573567,-1,,
